"subject" "session" "orLarge" "orSmall" "task" "rt" "response" "vertical"
"90" 1 1 "Left" -0.5 "equ" 1.0819252338 0 FALSE
"91" 1 1 "Top" 2 "comp" 0.999610963993 1 TRUE
"92" 1 1 "Left" -1.5 "comp" 0.85850434628 0 FALSE
"93" 1 1 "Right" -1.5 "comp" 1.11722248988 0 FALSE
"94" 1 1 "Left" -0.5 "equ" 1.75230249907 0 FALSE
"95" 1 1 "Left" -0.5 "comp" 1.55235562261 0 FALSE
"96" 1 1 "Left" 1.5 "equ" 1.02312292043 1 FALSE
"97" 1 1 "Top" -1 "comp" 0.987865142872 0 TRUE
"98" 1 1 "Bottom" -0.5 "comp" 1.97569310693 0 TRUE
"99" 1 1 "Right" -1.5 "equ" 1.32893358523 0 FALSE
"100" 1 1 "Left" 1.5 "equ" 0.999809506507 1 FALSE
"101" 1 1 "Bottom" -1.5 "equ" 2.25798184984 0 TRUE
"102" 1 1 "Top" 0.5 "comp" 1.30533462271 1 TRUE
"103" 1 1 "Top" -0.5 "equ" 0.917328123701 1 TRUE
"104" 1 1 "Bottom" -2 "comp" 1.34067710663 0 TRUE
"105" 1 1 "Left" -1.5 "equ" 1.84635224125 0 FALSE
"106" 1 1 "Top" -1 "comp" 0.929275170342 0 TRUE
"107" 1 1 "Left" 0 "comp" 2.46964158477 1 FALSE
"108" 1 1 "Right" -2 "comp" 0.882045432506 0 FALSE
"109" 1 1 "Left" -1 "equ" 1.69347488878 0 FALSE
"110" 1 1 "Top" -0.5 "comp" 0.929080843982 0 TRUE
"111" 1 1 "Right" 1 "equ" 0.964365068323 1 FALSE
"112" 1 1 "Left" -1 "comp" 0.893799685935 0 FALSE
"113" 1 1 "Left" 2 "comp" 0.893755224677 1 FALSE
"114" 1 1 "Bottom" -1 "equ" 0.834965559773 1 TRUE
"115" 1 1 "Top" 0.5 "comp" 1.15251169695 1 TRUE
"116" 1 1 "Bottom" 0.5 "comp" 1.37592645188 1 TRUE
"117" 1 1 "Right" 0.5 "comp" 1.31700800264 0 FALSE
"118" 1 1 "Bottom" -0.5 "equ" 0.964316390911 1 TRUE
"119" 1 1 "Top" 2 "equ" 1.34069857069 0 TRUE
"120" 1 1 "Bottom" 1 "comp" 0.940793702446 1 TRUE
"121" 1 1 "Left" -0.5 "equ" 1.02314668421 0 FALSE
"122" 1 1 "Top" -0.5 "comp" 0.834983957535 0 TRUE
"123" 1 1 "Bottom" -1 "comp" 0.905474599015 0 TRUE
"124" 1 1 "Right" -0.5 "comp" 0.905534775028 0 FALSE
"125" 1 1 "Top" 0 "equ" 0.929047498038 1 TRUE
"126" 1 1 "Top" -1.5 "equ" 1.09369711841 0 TRUE
"127" 1 1 "Bottom" -0.5 "equ" 4.70407966538 0 TRUE
"128" 1 1 "Top" 2 "comp" 0.787924782284 1 TRUE
"129" 1 1 "Left" -1.5 "comp" 0.858482498937 0 FALSE
"130" 1 1 "Right" 0 "equ" 1.08197736079 0 FALSE
"131" 1 1 "Left" 1.5 "comp" 0.835004655017 1 FALSE
"132" 1 1 "Left" -0.5 "equ" 1.47005630098 0 FALSE
"133" 1 1 "Left" -2 "comp" 0.8937805216 0 FALSE
"134" 1 1 "Left" -1.5 "equ" 1.1760205871 0 FALSE
"135" 1 1 "Bottom" 1 "equ" 1.45826946819 1 TRUE
"136" 1 1 "Top" 2 "equ" 1.97576094868 0 TRUE
"137" 1 1 "Left" 0 "comp" 0.929035999437 0 FALSE
"138" 1 1 "Left" 0.5 "equ" 1.03487717386 1 FALSE
"139" 1 1 "Top" 0.5 "equ" 1.04665250806 1 TRUE
"140" 1 1 "Top" 1.5 "equ" 1.28192538711 0 TRUE
"141" 1 1 "Right" 1.5 "equ" 1.35241411216 0 FALSE
"142" 1 1 "Right" -1 "equ" 0.952580918531 0 FALSE
"143" 1 1 "Right" 0 "comp" 1.63467679157 0 FALSE
"144" 1 1 "Bottom" -1.5 "comp" 0.870242501666 0 TRUE
"145" 1 1 "Left" -1.5 "comp" 1.02316201567 0 FALSE
"146" 1 1 "Left" -2 "equ" 0.905550106496 0 FALSE
"147" 1 1 "Left" -2 "equ" 0.84674089397 0 FALSE
"148" 1 1 "Right" 0 "equ" 0.976101690563 1 FALSE
"149" 1 1 "Bottom" -2 "equ" 0.976125071052 0 TRUE
"150" 1 1 "Top" -2 "equ" 1.49355752539 0 TRUE
"151" 1 1 "Top" 1.5 "comp" 1.10547475233 1 TRUE
"152" 1 1 "Top" 1.5 "equ" 0.870257066561 1 TRUE
"153" 1 1 "Bottom" 1.5 "equ" 1.12884105982 0 TRUE
"154" 1 1 "Left" 0.5 "comp" 1.25838238445 1 FALSE
"155" 1 1 "Right" -0.5 "equ" 1.08193481596 1 FALSE
"156" 1 1 "Right" 0 "comp" 1.05843742442 0 FALSE
"157" 1 1 "Right" 1 "equ" 0.893778221879 1 FALSE
"158" 1 1 "Top" -1.5 "equ" 3.70451162949 0 TRUE
"159" 1 1 "Bottom" 1 "comp" 1.01140431267 1 TRUE
"160" 1 1 "Left" 0 "comp" 1.58764482967 0 FALSE
"161" 1 1 "Top" 0 "equ" 0.870270481596 1 TRUE
"162" 1 1 "Right" -2 "equ" 1.34066829104 0 FALSE
"163" 1 1 "Top" 2 "equ" 1.07017251351 0 TRUE
"164" 1 1 "Right" -2 "equ" 1.12896869429 0 FALSE
"165" 1 1 "Left" 2 "equ" 0.799653355503 1 FALSE
"166" 1 1 "Right" -2 "equ" 1.52883600043 1 FALSE
"167" 1 1 "Right" 1 "equ" 0.952610048321 1 FALSE
"168" 1 1 "Bottom" -1 "comp" 0.835001205437 0 TRUE
"169" 1 1 "Bottom" -1.5 "equ" 1.10546172058 0 TRUE
"170" 1 1 "Top" 0.5 "equ" 0.999596015811 1 TRUE
"171" 1 1 "Top" -0.5 "equ" 0.799697050187 1 TRUE
"172" 1 1 "Top" 1.5 "comp" 1.27008451089 1 TRUE
"173" 1 1 "Left" 2 "equ" 0.858492081105 0 FALSE
"174" 1 1 "Right" -1.5 "equ" 0.893802368942 1 FALSE
"175" 1 1 "Left" -1 "equ" 1.04664330917 0 FALSE
"176" 1 1 "Left" 0 "equ" 1.01137863246 1 FALSE
"177" 1 1 "Top" 1 "equ" 1.50531561169 1 TRUE
"178" 1 1 "Top" 0 "equ" 0.799680185572 1 TRUE
"179" 1 1 "Bottom" 2 "comp" 0.834980507954 1 TRUE
"180" 1 1 "Top" -2 "comp" 0.823189075716 0 TRUE
"181" 1 1 "Top" -0.5 "equ" 0.905538607895 0 TRUE
"182" 1 1 "Bottom" -0.5 "equ" 1.01139358064 1 TRUE
"183" 1 1 "Bottom" -1.5 "comp" 0.858506646 0 TRUE
"184" 1 1 "Right" 0.5 "comp" 14.8414898661 1 FALSE
"185" 1 1 "Left" 1 "comp" 1.30539173243 1 FALSE
"186" 1 1 "Right" -1 "comp" 0.77618049431 0 FALSE
"187" 1 1 "Top" -2 "comp" 0.799692834034 0 TRUE
"188" 1 1 "Top" 1 "comp" 1.17602940269 1 TRUE
"189" 1 1 "Right" -2 "equ" 1.35240682971 0 FALSE
"190" 1 1 "Left" 1 "equ" 1.14076817555 1 FALSE
"191" 1 1 "Bottom" -1 "equ" 0.870279680477 1 TRUE
"192" 1 1 "Right" -1.5 "equ" 0.940843913005 0 FALSE
"193" 1 1 "Right" -1.5 "comp" 0.89377937174 0 FALSE
"194" 1 1 "Right" -1 "equ" 1.05843627456 0 FALSE
"195" 1 1 "Left" 1.5 "equ" 1.12900357338 0 FALSE
"196" 1 1 "Left" -0.5 "comp" 0.893796236355 0 FALSE
"197" 1 1 "Bottom" 1.5 "comp" 1.02313710204 1 TRUE
"198" 1 1 "Top" 1 "equ" 0.717398111853 1 TRUE
"199" 1 1 "Left" 1 "equ" 0.893773622439 1 FALSE
"200" 1 1 "Bottom" -1.5 "equ" 0.882024351738 0 TRUE
"201" 1 1 "Left" -1 "equ" 0.999603298259 0 FALSE
"202" 1 1 "Bottom" -0.5 "comp" 1.10546746988 1 TRUE
"203" 1 1 "Left" 2 "comp" 0.693891138143 1 FALSE
"204" 1 1 "Bottom" -1 "equ" 0.729142783114 0 TRUE
"205" 1 1 "Right" 0 "comp" 0.929055163773 0 FALSE
"206" 1 1 "Top" 1 "equ" 1.02311947085 1 TRUE
"207" 1 1 "Bottom" 1 "equ" 0.893806968382 1 TRUE
"208" 1 1 "Right" -1 "comp" 0.882020902157 0 FALSE
